Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [long],10,0,110.0,116.68842959998074,107.97573000036209,134.40173100025277,808.9,67.33154287860813,0.0,110,120,120,130,130,130,130,130,130,130,130
,Aggregated,10,0,110.0,116.68842959998074,107.97573000036209,134.40173100025277,808.9,67.33154287860813,0.0,110,120,120,130,130,130,130,130,130,130,130
