Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/pytorch/search [all],607,0,66,242.75709139380803,29.68035799858626,16987.106869000854,725.8945634266886,7.583769956056869,0.0,66,90,100,110,140,170,210,8200,17000,17000,17000
,Aggregated,607,0,66,242.75709139380803,29.68035799858626,16987.106869000854,725.8945634266886,7.583769956056869,0.0,66,90,100,110,140,170,210,8200,17000,17000,17000
