Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [short],15,0,180.0,169.03776613338172,137.16100700003153,195.63663199915027,668.9333333333333,71.30211272873161,0.0,180,180,190,190,190,200,200,200,200,200,200
,Aggregated,15,0,180.0,169.03776613338172,137.16100700003153,195.63663199915027,668.9333333333333,71.30211272873161,0.0,180,180,190,190,190,200,200,200,200,200,200
