k,rep,inference_ms,client_ms,http_code
1,1,37.904922000052466,77,200
1,2,16.273552000029667,52,200
1,3,28.651272000161043,76,200
1,4,17.93647299996337,55,200
1,5,15.806349000058617,62,200
1,6,26.131275999887293,63,200
1,7,20.609636999779468,60,200
1,8,15.066593999790712,55,200
1,9,16.530325000076118,58,200
1,10,31.59417000006215,75,200
1,11,21.85231099997509,58,200
1,12,14.420260999941092,55,200
1,13,44.27475200009212,81,200
1,14,15.188585000032617,56,200
1,15,15.638530000160245,52,200
1,16,24.479178999854412,62,200
1,17,18.81912899989402,63,200
1,18,51.83880300000965,93,200
1,19,18.695621000006213,66,200
1,20,27.595870999903127,91,200
5,1,6.813505000081932,46,200
5,2,7.225910999977714,62,200
5,3,9.234805000005508,48,200
5,4,27.406251999991582,70,200
5,5,30.27997799995319,76,200
5,6,11.943626999936896,63,200
5,7,20.781983999995646,77,200
5,8,14.852931999939756,56,200
5,9,19.993284999827665,62,200
5,10,13.96821799994541,56,200
5,11,18.25182900006439,60,200
5,12,27.572374000101263,68,200
5,13,32.17458299991449,71,200
5,14,8.590067000113777,46,200
5,15,6.651624999904016,59,200
5,16,6.720582999832914,45,200
5,17,18.10719800005245,56,200
5,18,32.65054999997119,70,200
5,19,10.844549000012194,47,200
5,20,13.120493000087663,58,200
10,1,15.962826999839308,54,200
10,2,17.830305999950724,55,200
10,3,21.008157999858668,68,200
10,4,22.083377999933873,77,200
10,5,14.815128999998706,57,200
10,6,33.76227199987625,72,200
10,7,34.68284399991717,77,200
10,8,7.386721000102625,48,200
10,9,6.7732119998709095,48,200
10,10,6.619537000005948,46,200
10,11,6.880507999994734,42,200
10,12,18.573005999996894,58,200
10,13,6.563881000147376,46,200
10,14,48.54830999988735,93,200
10,15,25.451398000086556,62,200
10,16,42.63421800010292,78,200
10,17,20.646545999852606,58,200
10,18,11.014620999958424,50,200
10,19,25.395416999799636,62,200
10,20,17.12577400007831,54,200
20,1,16.401387000087198,53,200
20,2,16.02044899982502,54,200
20,3,17.869861999997738,60,200
20,4,11.994632000096317,48,200
20,5,13.699016999908054,57,200
20,6,9.21430399989731,50,200
20,7,14.927517000160151,56,200
20,8,17.71843100004844,53,200
20,9,17.450615999905494,54,200
20,10,20.819042000084664,62,200
20,11,28.630731000021115,79,200
20,12,14.9984229999518,58,200
20,13,22.32242399986717,60,200
20,14,14.852298000050723,55,200
20,15,15.988249000201904,57,200
20,16,26.007700000036493,62,200
20,17,13.535664999835717,52,200
20,18,8.105463999982021,46,200
20,19,32.23267799990026,76,200
20,20,6.685576000108995,45,200
50,1,6.541182999853845,51,200
50,2,6.634235000092303,50,200
50,3,39.368134999904214,93,200
50,4,18.820040000036897,63,200
50,5,27.853085999822724,74,200
50,6,6.664292999857935,47,200
50,7,17.283416000054785,59,200
50,8,15.681181999980254,52,200
50,9,13.39962000020023,56,200
50,10,12.924941999926887,52,200
50,11,16.32688299991969,61,200
50,12,41.425526000011814,111,200
50,13,11.053174000153376,48,200
50,14,28.649534000123822,65,200
50,15,16.04307799993876,67,200
50,16,16.008928000019296,61,200
50,17,7.878807999986748,47,200
50,18,17.30988700001035,54,200
50,19,45.16105599986986,99,200
50,20,6.863867999982176,45,200
100,1,60.970584999950006,106,200
100,2,6.692445999988195,44,200
100,3,6.646566999961578,51,200
100,4,13.831785000093078,53,200
100,5,28.11106700005439,70,200
100,6,17.98539499986873,65,200
100,7,23.655918000031306,64,200
100,8,8.766151999907379,47,200
100,9,33.42567200002122,74,200
100,10,23.65155200004665,63,200
100,11,22.879448999901797,64,200
100,12,17.67367100001138,58,200
100,13,47.93067500008874,85,200
100,14,17.5475189998906,56,200
100,15,15.965635000156908,51,200
100,16,13.492343000052642,55,200
100,17,21.600651999960974,59,200
100,18,19.907908999812207,58,200
100,19,23.660415999984252,66,200
100,20,22.204652000027636,65,200
