Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [medium],1,0,53.29619999974966,53.29619999974966,53.29619999974966,53.29619999974966,733.0,18.371655212590287,0.0,53,53,53,53,53,53,53,53,53,53,53
,Aggregated,1,0,53.29619999974966,53.29619999974966,53.29619999974966,53.29619999974966,733.0,18.371655212590287,0.0,53,53,53,53,53,53,53,53,53,53,53
