timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783797820144,2026-07-11T19:23:40.144000+00:00,10.53,11.0,3008,421,,0
1783797820147,2026-07-11T19:23:40.147000+00:00,12.69,13.0,3008,421,,0
1783797820154,2026-07-11T19:23:40.154000+00:00,18.48,19.0,3008,421,,0
1783797820164,2026-07-11T19:23:40.164000+00:00,17.52,18.0,3008,421,,0
1783797820170,2026-07-11T19:23:40.170000+00:00,27.53,28.0,3008,421,,0
1783797820177,2026-07-11T19:23:40.177000+00:00,23.76,3094.0,3008,421,3069.82,1
1783797820178,2026-07-11T19:23:40.178000+00:00,30.02,31.0,3008,421,,0
1783797820183,2026-07-11T19:23:40.183000+00:00,34.16,35.0,3008,421,,0
1783797820196,2026-07-11T19:23:40.196000+00:00,45.44,46.0,3008,421,,0
1783797820196,2026-07-11T19:23:40.196000+00:00,34.0,34.0,3008,421,,0
1783797855664,2026-07-11T19:24:15.664000+00:00,34.02,35.0,3008,421,,0
1783797855665,2026-07-11T19:24:15.665000+00:00,24.62,25.0,3008,421,,0
1783797855667,2026-07-11T19:24:15.667000+00:00,25.5,26.0,3008,421,,0
1783797855668,2026-07-11T19:24:15.668000+00:00,33.6,34.0,3008,421,,0
1783797855668,2026-07-11T19:24:15.668000+00:00,10.03,11.0,3008,421,,0
1783797855677,2026-07-11T19:24:15.677000+00:00,40.25,41.0,3008,421,,0
1783797855680,2026-07-11T19:24:15.680000+00:00,15.68,3152.0,3008,421,3135.96,1
1783797855683,2026-07-11T19:24:15.683000+00:00,24.7,25.0,3008,421,,0
1783797855683,2026-07-11T19:24:15.683000+00:00,20.46,21.0,3008,421,,0
1783797855701,2026-07-11T19:24:15.701000+00:00,39.91,40.0,3008,421,,0
1783797855708,2026-07-11T19:24:15.708000+00:00,28.75,29.0,3008,421,,0
