request_num,timestamp_utc,http_code,client_ms,forced_cold
1,2026-07-11T20:53:29Z,200,9866,1
2,2026-07-11T20:53:49Z,200,8717,1
3,2026-07-11T20:54:08Z,200,9576,1
4,2026-07-11T20:54:29Z,200,9359,1
5,2026-07-11T20:54:48Z,200,9766,1
6,2026-07-11T20:55:09Z,200,8655,1
7,2026-07-11T20:55:28Z,200,9344,1
8,2026-07-11T20:55:48Z,200,8021,1
9,2026-07-11T20:56:07Z,200,7897,1
10,2026-07-11T20:56:25Z,200,7692,1
