Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/pytorch/search [all],2277,1200,29,42.303876779092036,10.801141999763786,340.79427199958445,361.2143170838823,37.86646853813885,19.955978149216783,29,37,49,80,91,100,150,230,310,340,340
,Aggregated,2277,1200,29,42.303876779092036,10.801141999763786,340.79427199958445,361.2143170838823,37.86646853813885,19.955978149216783,29,37,49,80,91,100,150,230,310,340,340
