timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783808475523,2026-07-11T22:21:15.523000+00:00,16.8,17.0,3008,421,,0
1783808475526,2026-07-11T22:21:15.526000+00:00,21.45,22.0,3008,421,,0
1783808475529,2026-07-11T22:21:15.529000+00:00,19.02,20.0,3008,421,,0
1783808475529,2026-07-11T22:21:15.529000+00:00,17.23,18.0,3008,421,,0
1783808475530,2026-07-11T22:21:15.530000+00:00,25.33,26.0,3008,421,,0
1783808475530,2026-07-11T22:21:15.530000+00:00,16.38,17.0,3008,421,,0
1783808475536,2026-07-11T22:21:15.536000+00:00,31.52,32.0,3008,421,,0
1783808475539,2026-07-11T22:21:15.539000+00:00,34.28,35.0,3008,421,,0
1783808475540,2026-07-11T22:21:15.540000+00:00,24.2,25.0,3008,421,,0
1783808475547,2026-07-11T22:21:15.547000+00:00,31.87,32.0,3008,421,,0
1783808475551,2026-07-11T22:21:15.551000+00:00,13.08,14.0,3008,421,,0
1783808475552,2026-07-11T22:21:15.552000+00:00,9.13,10.0,3008,421,,0
1783808475556,2026-07-11T22:21:15.556000+00:00,18.11,19.0,3008,421,,0
1783808475558,2026-07-11T22:21:15.558000+00:00,22.41,23.0,3008,421,,0
1783808475562,2026-07-11T22:21:15.562000+00:00,32.96,33.0,3008,421,,0
1783808475571,2026-07-11T22:21:15.571000+00:00,33.75,34.0,3008,421,,0
1783808475576,2026-07-11T22:21:15.576000+00:00,32.2,33.0,3008,421,,0
1783808475583,2026-07-11T22:21:15.583000+00:00,34.14,35.0,3008,421,,0
1783808475583,2026-07-11T22:21:15.583000+00:00,38.3,39.0,3008,421,,0
1783808475588,2026-07-11T22:21:15.588000+00:00,26.34,27.0,3008,421,,0
1783808511023,2026-07-11T22:21:51.023000+00:00,16.75,17.0,3008,421,,0
1783808511038,2026-07-11T22:21:51.038000+00:00,20.52,21.0,3008,421,,0
1783808511039,2026-07-11T22:21:51.039000+00:00,31.74,32.0,3008,421,,0
1783808511039,2026-07-11T22:21:51.039000+00:00,25.51,26.0,3008,421,,0
1783808511041,2026-07-11T22:21:51.041000+00:00,25.84,26.0,3008,421,,0
1783808511044,2026-07-11T22:21:51.044000+00:00,40.9,41.0,3008,421,,0
1783808511044,2026-07-11T22:21:51.044000+00:00,23.66,24.0,3008,421,,0
1783808511045,2026-07-11T22:21:51.045000+00:00,13.45,14.0,3008,421,,0
1783808511045,2026-07-11T22:21:51.045000+00:00,34.23,35.0,3008,421,,0
1783808511048,2026-07-11T22:21:51.048000+00:00,27.59,28.0,3008,421,,0
1783808511052,2026-07-11T22:21:51.052000+00:00,47.19,48.0,3008,421,,0
1783808511071,2026-07-11T22:21:51.071000+00:00,26.57,27.0,3008,421,,0
1783808511078,2026-07-11T22:21:51.078000+00:00,32.11,33.0,3008,421,,0
1783808511083,2026-07-11T22:21:51.083000+00:00,38.2,39.0,3008,421,,0
