Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [all],1136,523,30,30.069156693660403,9.220815999924525,110.85643200021877,407.7350352112676,18.91008975047896,8.705965615757478,30,36,40,42,48,58,68,75,100,110,110
,Aggregated,1136,523,30,30.069156693660403,9.220815999924525,110.85643200021877,407.7350352112676,18.91008975047896,8.705965615757478,30,36,40,42,48,58,68,75,100,110,110
