Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [all],7164,4,39,42.290873794672535,10.465186000146787,2015.5192319998605,721.035873813512,17.05422794835347,0.009522181992380498,39,43,47,49,57,64,75,86,140,2000,2000
,Aggregated,7164,4,39,42.290873794672535,10.465186000146787,2015.5192319998605,721.035873813512,17.05422794835347,0.009522181992380498,39,43,47,49,57,64,75,86,140,2000,2000
