Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [all],694,0,42,58.686598704610276,20.850295999480295,2683.619508999982,722.6757925072046,8.706185849500525,0.0,42,47,52,56,65,71,81,86,2700,2700,2700
,Aggregated,694,0,42,58.686598704610276,20.850295999480295,2683.619508999982,722.6757925072046,8.706185849500525,0.0,42,47,52,56,65,71,81,86,2700,2700,2700
