Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [all],10,0,130.0,137.49915649987088,118.41673600065405,177.71454899957462,727.3,55.69999083686026,0.0,140,140,150,150,180,180,180,180,180,180,180
,Aggregated,10,0,130.0,137.49915649987088,118.41673600065405,177.71454899957462,727.3,55.69999083686026,0.0,140,140,150,150,180,180,180,180,180,180,180
