Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/onnx/search [all],2277,962,34,39.13527304918668,10.132267999779287,204.84738799996194,432.0838823012736,37.86646223240129,15.99803981887134,34,41,45,50,66,97,160,180,200,200,200
,Aggregated,2277,962,34,39.13527304918668,10.132267999779287,204.84738799996194,432.0838823012736,37.86646223240129,15.99803981887134,34,41,45,50,66,97,160,180,200,200,200
