timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783809017828,2026-07-11T22:30:17.828000+00:00,117.25,8341.0,3008,713,8223.59,1
1783809017850,2026-07-11T22:30:17.850000+00:00,111.3,8373.0,3008,713,8261.49,1
1783809044785,2026-07-11T22:30:44.785000+00:00,36.59,37.0,3008,714,,0
1783809044807,2026-07-11T22:30:44.807000+00:00,51.32,52.0,3008,715,,0
1783809044810,2026-07-11T22:30:44.810000+00:00,52.67,53.0,3008,721,,0
1783809044892,2026-07-11T22:30:44.892000+00:00,132.93,8515.0,3008,712,8381.76,1
1783809044938,2026-07-11T22:30:44.938000+00:00,173.24,8655.0,3008,714,8481.04,1
1783809080244,2026-07-11T22:31:20.244000+00:00,18.82,19.0,3008,713,,0
1783809080246,2026-07-11T22:31:20.246000+00:00,20.17,21.0,3008,721,,0
1783809080258,2026-07-11T22:31:20.258000+00:00,17.83,18.0,3008,714,,0
1783809080261,2026-07-11T22:31:20.261000+00:00,29.49,30.0,3008,717,,0
1783809080300,2026-07-11T22:31:20.300000+00:00,76.71,77.0,3008,716,,0
