k,mean,std,count
1,23.965380599986474,10.478069983744495,20
5,16.859217399985482,8.981492853305474,20
10,20.18790314996295,12.141383078173748,20
20,16.97372324999833,6.497558153502412,20
50,18.594543699987298,11.864913867822365,20
100,22.330002999990484,13.070162733052484,20
