variant,memory_mb,avg_billed_ms,p50_ms,p99_ms,n_runs
onnx,1024,60.21131261443585,60.0,746.6666666666666,3
onnx,2048,34.300874257071605,43.666666666666664,110.33333333333333,3
onnx,3008,25.57835620753114,39.333333333333336,74.33333333333333,3
pytorch,1024,56.16579101616093,71.0,2529.0,3
pytorch,2048,41.30331387324815,45.0,2466.6666666666665,3
pytorch,3008,53.0113179061386,44.666666666666664,2730.0,3
